Elapsed time (s),Accuracy (%),Method
3046.0,68.32457141685487,Polaris
3066.0,68.81599998828342,Polaris
3086.0,69.14500000119209,Polaris
3106.0,69.09500000119209,Polaris
3126.0,69.02200000301997,Polaris
3146.0,68.8953333363533,Polaris
3166.0,69.17577776866489,Polaris
3186.0,69.55799999088711,Polaris
3206.0,69.35600001621246,Polaris
3226.0,68.94359999494553,Polaris
3246.0,69.15559999494553,Polaris
3266.0,69.36759999494552,Polaris
3286.0,68.9380000140667,Polaris
3306.0,69.06145453825864,Polaris
3326.0,69.36327272007682,Polaris
3346.0,69.58066669972737,Polaris
3366.0,68.82054543781281,Polaris
3386.0,69.522363619631,Polaris
3406.0,70.22418180144918,Polaris
3426.0,70.55799999921972,Polaris
3446.0,70.590727271947,Polaris
3466.0,70.62345454467427,Polaris
3486.0,70.70999999761581,Polaris
3506.0,70.80999999761582,Polaris
3526.0,70.90999999761581,Polaris
3546.0,70.75254545983401,Polaris
3566.0,70.53072727801583,Polaris
3586.0,70.31945454571465,Polaris
3606.0,70.30854545480555,Polaris
3626.0,70.29763636389646,Polaris
