Elapsed time,Accuracy (%),Method
5570,0.42657272720336914,Pisces
5620,0.4265000000190735,Pisces
5670,0.4253090909333663,Pisces
5720,0.426327272678722,Pisces
5770,0.4252818182702498,Pisces
5820,0.4252636362318559,Pisces
5870,0.42928181823383676,Pisces
5920,0.42742727269606157,Pisces
5970,0.4291272726839239,Pisces
6020,0.4313999999566512,Pisces
6070,0.4297333333651225,Pisces
6120,0.4306571428271702,Pisces
6170,0.4313846153948857,Pisces
6220,0.4307538461817228,Pisces
6270,0.42929230772018434,Pisces
6320,0.42802222224553427,Pisces
6370,0.42680000002331203,Pisces
6420,0.43071666659196217,Pisces
6470,0.43189999999046325,Pisces
6520,0.4336818181315335,Pisces
6570,0.4354545454372059,Pisces
6620,0.4355636363844438,Pisces
6670,0.43395454550829804,Pisces
6720,0.43224545449343593,Pisces
6770,0.4342000000953674,Pisces
6820,0.42920000009536746,Pisces
6870,0.4330181817453558,Pisces
6920,0.43290909091949464,Pisces
6970,0.4327272727290067,Pisces
7020,0.4352454544760964,Pisces
7070,0.436590909094377,Pisces
7120,0.43600000001907346,Pisces
7170,0.4364181817696311,Pisces
7220,0.43864999997138976,Pisces
7270,0.4398583333603541,Pisces
7320,0.43844166669368745,Pisces
7370,0.4378500000095367,Pisces
7420,0.43851666664441424,Pisces
7470,0.4377818182321028,Pisces
7520,0.43713333328882853,Pisces
7570,0.4389384615443303,Pisces
7620,0.43863076923663796,Pisces
7670,0.4393941176302293,Pisces
7720,0.4401588235238019,Pisces
7770,0.44045294117086076,Pisces
7820,0.4406,Pisces
7870,0.43926666673024495,Pisces
7920,0.4369666666316986,Pisces
7970,0.43879999996503194,Pisces
120,0.011283333322207134,Polaris
170,0.03809999971707661,Polaris
220,0.08532499947786328,Polaris
270,0.10270000019073487,Polaris
320,0.07626363675897777,Polaris
370,0.06686363523049775,Polaris
420,0.1741363636042855,Polaris
470,0.17749999996792185,Polaris
520,0.19640909072875976,Polaris
570,0.22268181792345915,Polaris
620,0.2299181817965074,Polaris
670,0.24442499981164933,Polaris
720,0.259163636228388,Polaris
770,0.2736363634976474,Polaris
820,0.28219999994277956,Polaris
870,0.2965999998092651,Polaris
920,0.2981000000298023,Polaris
970,0.3172818179988861,Polaris
1020,0.324149999755621,Polaris
1070,0.3312500000500679,Polaris
1120,0.3406090909533067,Polaris
1170,0.35029999936103823,Polaris
1220,0.34784545456886296,Polaris
1270,0.3596000000286102,Polaris
